STT,Loại câu hỏi,Câu hỏi,Câu trả lời,Căn cứ
38,"Tuyển bổ sung và loại ra khỏi chương trình, xét chính thức và dự bị",Sinh viên có thể xin ra khỏi chương trình tài năng không,"Có thể, Điều 9. Tuyển bổ sung và loại ra khỏi chương trình, xét chính thức và dự bị
2. Sinh viên xin ra khỏi chương trình
Sinh viên có yêu cầu cá nhân được phép làm đơn xin ra khỏi chương trình và trở về lớp đào tạo theo chương trình chuẩn phù hợp (tương tự với sinh viên bị loại khỏi chươngtrình). Nếu sinh viên xin ra khỏi CTTN phải có trách nhiệm hoàn trả lại toàn bộ số tiền
 học bổng đã nhận theo điều 13 của quy định này.","Khoảng 3, Điều 9, QUY ĐỊNH ĐÀO TẠO CHƯƠNG TRÌNH
TÀI NĂNG"
39,"Tuyển bổ sung và loại ra khỏi chương trình, xét chính thức và dự bị",Làm sao để tham gia tuyển bổ sung vào chương trình tài năng từ chương trình chuẩn?,"Điều 9. Tuyển bổ sung và loại ra khỏi chương trình, xét chính thức và dự bị
3. Tuyển bổ sung sinh viên từ chương trình chuẩn
Căn cứ vào chỉ tiêu của từng khóa và số sinh viên bị loại, nếu số sinh viên còn lại của một lớp CTTN ít hơn chỉ tiêu thì Khoa được phép tiến hành tuyển bổ sung.
Sinh viên vừa được tuyển bổ sung là sinh viên dự bị của lớp tài năng sao cho số lượng sinh viên dự bị không quá 20% tổng số lượng sinh viên của lớp tài năng, trong trưởng hợp tổng số sinh viên của lớp tài năng chưa đạt 2/3 chỉ tiêu thì được quyển tuyển bổ sung sinh viên dự bị 
vượt hơn 20% tổng số lượng sinh viên nhưng không được vượt quá chi tiêu
Việc tuyển bổ sung được thực hiện lần cuối cho học kỳ thứ 4 (xét theo kết quả học kỳ thứ 3).
Điều kiện để sinh viên được tham gia dự tuyển bổ sung:
- Sinh viên chương trình chuẩn đang theo học cùng khóa, cùng ngành với lớp CTTN tương ứng. Trường hợp cần thiết Khoa có thể thông báo tuyển cả các sinh viên một số ngành/chuyên ngành khác - cùng khóa nếu ngành này chưa có sự khác biệt đáng kể về chương trình 
đào tạo so với ngành đang đào tạo CTTN (số tín chỉ khác biệt < 10%).
- Có điểm rèn luyện đạt từ loại Khá trở lên, có nguyện vọng theo học lớp CTTN. Có STCTL theo tiến độ CTĐT đạt trên 90%.
- ĐTBHK gần nhất và ĐTBTL tại thời điểm xét tuyển đều từ 7,5 trở lên.
- Điểm tổng kết các môn học cốt lõi (nếu có) đều đạt từ 7,5 trở lên.
- Đạt các tiêu chuẩn bổ sung khác do khoa quy định cụ thể.
","Khoảng 3, Điều 9, QUY ĐỊNH ĐÀO TẠO CHƯƠNG TRÌNH
TÀI NĂNG"
40,Hỗ trợ sinh viên nghiên cứu khoa học,Sinh viên thuộc chương trình tài năng được hỗ trợ nghiên cứu khoa học như thế nào?,"Điều 11. Hỗ trợ sinh viên nghiên cứu khoa học
Khoa phải khuyến khích sinh viên từ năm thứ 3 tham gia NCKH, đảm bảo:
- 10% sinh viên/ khóa/ngành có bài báo khoa học được công bố.
- 100% sinh viên tham gia NCKH thông qua các hình thức: tham gia NCKH theo nhóm, thực hiện KLTN. Khoa chịu trách nhiệm duyệt chọn đề tải và cán bộ hướng dẫn KLTN cho sinh viên CTTN để đảm bảo chất lượng tương ứng với ý nghĩa ""tài năng"" của bằng cấp.
 Khuyến khích chọn các đề tài theo hướng nghiên cứu, yêu cầu sinh viên tham gia viết bài báo, tham dự hội nghị khoa học và có thể cộng điểm thưởng vào điểm khóa luận.
- 100% sinh viên tham gia thực tập, thực hành tại đơn vị, doanh nghiệp liên kết đào tao.","Điều 11, QUY ĐỊNH ĐÀO TẠO CHƯƠNG TRÌNH
TÀI NĂNG"
41,Quy định về tài chính,Sinh viên thuộc chương trình tài năng có thể nhận những loại học bổng nào?,"Điều 13. Quy định về tài chính
1. Học bổng sinh viên
- Học bổng chương trình: học bổng được cấp cho sinh viên theo từng học kỳ — một học kỳ tính là 5.0 tháng. Mức học bổng hàng năm do Hiệu trưởng quyết định. Tất cả các sinh viên tài năng theo danh sách chính thức từng học kỳ đều được hưởng học bổng này.
- Học bổng khuyến khích học tập: sinh viên tài năng được tham gia xét hưởng học bổng khuyến khích học tập theo quy định của nhà nước tương tự như các sinh viên chương
trình khác (xét chung theo khóa, Khoa-Ngành).","Khoảng 1, Điều 13, QUY ĐỊNH ĐÀO TẠO CHƯƠNG TRÌNH TÀI NĂNG"
42,Tốt nghiệp Chương trình Tài năng,Sinh viên tốt nghiệp chương trình tài năng sau khi tốt nghiệp thì sẽ được cấp bằng gì?,"Điều 12. Tốt nghiệp Chương trình Tài năng
Sinh viên sẽ được cấp bằng ""Cử nhân/Kỹ sư Tài năng"" (Honor Program) của Trường ĐHCNTT – ĐHQG HCM nếu hội đủ các điều kiện sau:
Đang là sinh viên của CTTN.
Hoàn tất chương trình đúng hạn — đủ điều kiện để được cấp bằng theo đúng ngành học của lớp CTTN tương ứng. Nếu sinh viên đã bảo vệ KLTN đúng hạn nhưng chưa đủ điều kiện tốt nghiệp, Khoa có thể xem xét hoàn cảnh cụ thể để đề nghị
BĐH và trình BGH phê duyệt cho phép gia hạn tối đa 1 học kỳ để hoàn tất CTĐT và được cấp bằng CTTN.
- Có điểm KLTN ≥ 7.0, ĐTBTL ≥ 7.0 và điểm rèn luyện tử loại Khá trở lên.
Có trình độ Anh văn đạt chuẩn đầu ra của CTTN do Trưởng quy định.
Các sinh viên không đạt một trong các điều kiện nêu trên sẽ nhận bằng tốt nghiệp như sinh viên chương trình chuẩn khi đã đạt đủ các điều kiện được quy định trong quy chế đào tạo theo học chế tín chỉ của Trưởng; đồng thời sinh viên phải hoàn trả toàn bộ học bổng đã nhận theo điều 13 của quy định này.","Khoảng 3, Điều 12, QUY ĐỊNH ĐÀO TẠO CHƯƠNG TRÌNH 
TÀI NĂNG"
43,,QUY ĐỊNH 5,,
44,,QUY ĐỊNH 6,,
45,Thời gian thực hiện KLTN,Thời gian thực hiện khóa luận tốt nghiệp là bao lâu?,"Điều 3. Thời gian thực hiện KLTN
1. Hàng năm theo kế hoạch đào tạo, nhà trường tổ chức xét và giao đề tài KLTN cho các SV vào đầu mỗi học kỳ chính.
2. Thời gian thực hiện KLTN là 1 học kỳ chính (15 tuần). Trường hợp đặc biệt SV có thể làm đơn đề nghị P.ĐTĐH cho phép gia hạn thời gian thực hiện KLTN nếu có sự đồng ý của CBHD và Khoa.","Khoảng 2, Điều 3, QUY ĐỊNH VỀ KHÓA LUẬN TỐT NGHIỆP CHO BẬC ĐẠI HỌC CHÍNH QUY"
46,Điều kiện SV được làm KLTN,Sinh viên đăng ký khóa luận tốt nghiệp có cần điều kiện gì không?,"Điều 4. Điều kiện SV được làm KLTN
- SV phải đăng ký thực hiện KLTN theo thông báo đăng ký học phần vào đầu mỗi học kỳ. SV đủ điều kiện làm KLTN là các SV đáp ứng các yêu cầu được quy định trong Quy chế đào tạo theo học chế tín chỉ của Trường. Ngoài các yêu cầu chung do Trường quy định, Khoa có thể đề xuất bổ sung các tiêu chuẩn
 xét chọn làm KLTN của riêng Khoa. Các quy định bổ sung này phải được gửi cho P. ĐTĐH khi lên kế hoạch đào tạo và công bố rộng rãi cho SV vào trước đầu mỗi học kỳ có xét duyệt KLTN.
- P.ĐTĐH/VPCCTĐB căn cứ vào các tiêu chuẩn và danh sách SV đăng ký thực hiện KLTN để xét duyệt danh sách SV thực hiện đề tài. P.ĐTĐH/VPCCTĐB cung cấp danh sách SV đủ điều kiện thực hiện KLTN sau khi kết thúc đợt đăng ký học phần về Khoa để Khoa giao đề tài.
- Khoa gửi danh sách SV và đề tài KLTN được giao cho P.ĐTĐH/VPCCTĐB. Căn cứ đề nghị của Trưởng P.ĐTĐH và Trưởng Khoa, Hiệu trưởng sẽ ra quyết định giao đề tài KLTN cho SV.
- SV không đủ điều kiện làm KLTN có thể đăng ký học các môn chuyên đề tốt nghiệp.","Khoảng 2, Điều 4, QUY ĐỊNH VỀ KHÓA LUẬN TỐT
 NGHIỆP CHO BẬC ĐẠI HỌC CHÍNH QUY"
47,Đăng ký và xét duyệt đề tài KLTN,Khóa luận tốt nghiệp có thể thực hiện với bao nhiêu sinh viên?,"Điều 5. Đăng ký và xét duyệt đề tài KLTN
3. Mỗi đề tài KLTN được giao cho từ 1 đến 2 SV thực hiện với sự phân công trách nhiệm cụ thể cho từng SV có ghi rõ trong đề cương nghiên cứu.","Khoảng 2, Điều 5, QUY ĐỊNH VỀ KHÓA LUẬN TỐT
 NGHIỆP CHO BẬC ĐẠI HỌC CHÍNH QUY"
48,Quy định về cán bộ hướng dẫn,Giảng viên nào có thể hướng dẫn khóa luận tốt nghiệp?,"Điều 6. Quy định về cán bộ hướng dẫn 
1. Mỗi đề tài KLTN do tối thiểu 1 CBHD có học vị từ thạc sĩ trở lên hướng dẫn. Nếu KLTN gồm 2 CBHD thì phải phân rõ trách nhiệm hướng dẫn chính và hướng dẫn phụ. Trường hợp mời CBHD bên ngoài hướng dẫn thì phải có một CBHD là cán bộ của Trường. 
2. CBHD đề tài không được là người có quan hệ ruột thịt (cha, mẹ, vợ, chồng, anh, chị, em ruột) với SV thực hiện đề tài KLTN.","Khoảng 2, Điều 6, QUY ĐỊNH VỀ KHÓA LUẬN TỐT 
NGHIỆP CHO BẬC ĐẠI HỌC CHÍNH QUY"
49,Quy định về cán bộ hướng dẫn,Giảng viên có thể hướng dẫn tối đa bao nhiêu khóa luận tốt nghiệp trong một kỳ?,"Điều 6. Quy định về cán bộ hướng dẫn 
3. CBHD hướng dẫn tối đa 10 đề tài trong mỗi học kỳ.","Khoảng 2, Điều 6, QUY ĐỊNH VỀ KHÓA LUẬN TỐT 
NGHIỆP CHO BẬC ĐẠI HỌC CHÍNH QUY"
50,"Văn bằng, chứng chỉ",Khi nào SV có thể lấy bằng tốt nghiệp?,"Điều 14. Thời hạn cấp văn bằng, chứng chỉ 
 1. Hiệu trưởng Trường ĐHCNTT có trách nhiệm cấp văn bằng cho người học trong thời hạn: 
 a) 30 ngày kể từ ngày có quyết định công nhận tốt nghiệp đại học. 
 b) 30 ngày kể từ ngày có quyết định công nhận tốt nghiệp và cấp bằng thạc sĩ. 
 c) 30 ngày kể từ ngày có quyết định công nhận học vị tiến sĩ và cấp bằng tiến sĩ","Điều 14, QUY CHẾ Văn bằng, chứng chỉ của Trường Đại học Công nghệ Thông tin"
51,Môn học,Học phần tích lũy là gì?,Học phần tích lũy: là học phần mà sinh viên có kết quả tổng kết học phần được từ 5 điểm trở lên,"Khoản 2, Điều 3, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
52,Môn học,Học bắt buộc là sao?,Học phần bắt buộc: là học phần bắt buộc sinh viên phải học và tích lũy theo ngành hoặc chuyên ngành đã chọn,"Khoản 2, Điều 3, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
53,Môn học,Thực hành Hình thức 2 là gì?,"Thực hành Hình thức 2 (HT2): là hình thức dạy thực hành có sự hướng dẫn của giảng viên với thời lượng 09 tiết/tín chỉ thực hành, không nhất thiết phải sử dụng phòng thực hành chuyên dụng.","Khoản 1, Điều 3, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
54,Môn học,Tín chỉ học phí được tính như thế nào?,"Tín chỉ học phí (TCHP): là đơn vị dùng để lượng hóa chi phí của các hoạt động giảng dạy tính cho từng học phần. 
 Số TCHP của mỗi học phần được xác định căn cứ vào đề cương và cách thức tổ chức học phần: 
 - Phần giảng dạy lý thuyết tại lớp: 15 tiết tương đương với 1 TCHP. 
 - Phần giảng dạy thực hành, thí nghiệm, thảo luận:
  o Học phần thực hành HT1 : 1 TCTH tương đương 2 TCHP.
  o Học phần thực hành HT2 : 1 TCTH tương đương 1 TCHP. 
 - Một số học phần đặc biệt được xác định số TCHP riêng theo quyết định của Hiệu trưởng gồm các loại học phần: Giáo dục quốc phòng - an ninh, Giáo dục thể chất, Thực tập doanh nghiệp, Khóa luận tốt nghiệp, Môn học đồ án (bao gồm chuyên đề nghiên cứu khoa học, seminar,…).","Khoản 2, Điều 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
55,Môn học,Tín chỉ học phí có mức học phí cụ thể không?,"Có 3 loại TCHP: 
 - TCHP học lại (TCHPHL): là tín chỉ học phí của học phần học lại. 
 - TCHP học cải thiện (TCHPCT): là tín chỉ học phí của học phần học cải thiện. 
 - TCHP học mới (TCHPHM): là tín chỉ học phí của học phần mới học lần đầu.
 Đầu năm học, Trường sẽ công bố mức học phí cho mỗi loại TCHP.","Khoản 2, Điều 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
56,Học phí,Sinh viên không đóng đúng hạn học phí cần phải làm gì?,Gia hạn thời gian nộp học phí: Nếu sinh viên có hoàn cảnh đặc biệt khó khăn không thể hoàn thành học phí đúng hạn thì phải làm đơn xin gia hạn đóng học phí và nộp về Phòng Kế hoạch – Tài chính trước thời hạn đóng học phí theo quy định.,"Khoản 3, Điều 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
57,Học phí,Sinh viên học hai chương trình đào tạo cùng một lúc thì học phí tính như thế nào?,"Đối với sinh viên học cùng lúc hai chương trình đào tạo, học phí cũng được xác định theo quy định tại khoản này. Trường hợp sinh viên đã tốt nghiệp chương trình thứ nhất thì học phí chương trình thứ hai được tính dựa trên số tín chỉ mà sinh viên đăng ký theo công thức: Học phí = Số TC học phí x đơn giá học phí.","Khoản 3, Điều 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
58,Học phí,Sinh viên đã được phép bảo lưu thì có phải đóng học phí không?,"Nếu được cho phép bảo lưu thì sinh viên không phải đóng HPHK cho học kỳ được bảo lưu, tuy nhiên sinh viên phải đóng HPHK tới hết học kỳ n + i (n là số học kỳ theo thiết kế CTĐT ,trong đó i là tổng số học kỳ sinh viên được bảo lưu) 
 (Ví dụ : CTĐT có thời gian thiết kế là 7 học kỳ , sinh viên bảo lưu 01 học kỳ thì thời gian sinh viên phải đóng HPHK tới hết học kỳ 8).","Khoản 3, Điều 4, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
59,Thời gian đào tạo,Sinh viên có thể kéo dài thời gian học tập tối đa là bao nhiêu?,"Tùy theo khả năng học tập, sinh viên được kéo dài thời gian học tối đa 04 học kỳ chính.","Khoản 2, Điều 6, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
60,Thời gian đào tạo,Thời gian thiết kế để sinh viên hoàn thành chương trình đào tạo là bao lâu?,"Khóa học là thời gian thiết kế để sinh viên hoàn thành chương trình giáo dục của một ngành chuyên môn ở trình độ đại học. 
 a) Đào tạo trình độ đại học được thực hiện từ 3 đến 5 năm đối với văn bằng 1; từ 2 năm đến 3 năm học đối với văn bằng 2; từ 1,5 năm đến 2,5 năm học đối với liên thông. 
 b) Thời gian đào tạo văn bằng 1, liên thông, văn bằng 2 được xác định trên cơ sở học phần và khối lượng tích lũy quy định cho từng chương trình","Khoản 1, Điều 6, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
61,Bảo lưu kết quả trúng tuyển,Thí sinh trúng tuyển đăng ký bảo lưu kết quả trúng tuyển thời gian chậm nhất là bao lâu ?,Thí sinh trúng tuyển phải nộp đơn xin bảo lưu chậm nhất 15 ngày kể từ ngày gọi nhập học cho P. ĐTĐH của Trường và chỉ được bảo lưu khi có quyết định chấp thuận của Hiệu trưởng.,"Điều 11, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
62,Bảo lưu kết quả trúng tuyển,Trường hợp nào thí sinh trúng tuyển được bảo lưu kết quả trúng tuyển?,"Sau khi được xét trúng tuyển vào Trường, do một số hoàn cảnh đặc biệt như được điều động vào các lực lượng vũ trang, thai sản, bệnh tật, tai nạn, hoàn cảnh khó khăn xảy ra đột xuất, thí sinh trúng tuyển có thể xin bảo lưu kết quả.","Điều 11, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
63,Bảo lưu kết quả trúng tuyển,Thời gian bảo lưu kết quả là bao lâu?,Thời gian bảo lưu kết quả trúng tuyển không quá 01 năm. Đối với trường hợp được điều động vào các lực lượng vũ trang thì thời gian bảo lưu kết quả trúng tuyển bằng với thời Trang 12/27 gian được điều động.,"Điều 11, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
64,Bảo lưu kết quả trúng tuyển,"Sau khi bảo lưu kết quả trúng tuyển, cần phải làm gì để nhập học lại?","Muốn nhập học lại, thí sinh phải làm đơn xin nhập học và nộp P. ĐTĐH của Trường trước khi bắt đầu học kỳ ít nhất 1 tháng để được giải quyết.","Điều 11, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
65,Tổ chức lớp,Một lớp học phần tối thiểu là bao nhiêu sinh viên?,"Lớp học phần sẽ được mở nếu số lượng sinh viên đăng ký: 
 - Tối thiểu là 50 sinh viên đối với các môn học đại cương và các môn học cơ sở nhóm ngành. 
 - Các môn học chuyên ngành bắt buộc và chuyên đề tốt nghiệp tối thiểu là 20 sinh viên. 
 - Các môn học ngoại ngữ nằm trong chương trình đào tạo cho sinh viên chính quy được mở với số lượng tối thiểu là 20 sinh viên. 
 - Các học phần như Thực tập doanh nghiệp, Khóa luận tốt nghiệp, môn học đồ án được mở không hạn chế số lượng. 
 - Các môn học còn lại tối thiểu là 30 sinh viên.
 Trong trường hợp đặc biệt, theo đề nghị của sinh viên, khoa/bộ môn quản lý ngành đào tạo thì P.ĐTĐH có thể mở lớp và thực hiện theo quy định Trường.","Khoản 1, Điều 12, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
66,Xử lý học vụ,Sinh viên bị cảnh báo học vụ nhưng tiếp tục sai phạm thì có hình thức xử phạt ra sao?,"2. Đình chỉ học tập 
 - Sinh viên bị đình chỉ học tập 1 học kỳ chính nếu vi phạm lần đầu trong việc đi thi hộ hoặc nhờ người thi hộ. 
 - Đình chỉ học tập có thời hạn: áp dụng đối với những sinh viên đang trong thời gian bị cảnh báo mà vẫn vi phạm kỷ luật hoặc vi phạm nghiêm trọng các hành vi sinh viên không được làm; sinh viên vi phạm pháp luật bị xử phạt tù nhưng cho hưởng án treo.","Khoản 2, Điều 16, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
67,Xử lý học vụ,Sinh viên bị buộc thôi học có thể học tập ở trường tiếp được không?,Sinh viên thuộc diện buộc thôi học nếu có nguyện vọng chuyển từ hình thức đào tạo chính quy sang hình thức đào tạo từ xa phải làm đơn để Hiệu trưởng xét cụ thể từng trường hợp.,"Điểm a, Khoản 3, Điều 16, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
68,"Thôi học, tạm dừng học tập",Các trường hợp nào sinh viên được quyền tạm dừng học tập và bảo lưu kết quả học tập?,"Được cơ quan có thẩm quyền điều động, đại diện quốc gia tham dự các kỳ thi, giải đấu quốc tế. 
 Bị ốm, thai sản hoặc tai nạn phải điều trị thời gian dài, có chứng nhận của cơ sở khám bệnh, chữa bệnh có thẩm quyền theo quy định của Bộ Y tế.
 Trường hợp vì lý do cá nhân, sinh viên phải học ít nhất một học kỳ ở Trường và không rơi vào các trường hợp bị đình chỉ học tập, có xác nhận của gia đình và giấy tờ liên quan hợp lệ.","Khoản 2, Điều 17, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
69,Học cùng lúc hai chương trình đào tạo,Sinh viên muốn học cùng lúc hai chương trình đào tạo phải đạt những yêu cầu nào?,"Sinh viên trình độ đại học văn bằng 1 đang học tại Trường được đăng ký học thêm một chương trình đào tạo thứ hai nếu thỏa mãn đồng thời các điều kiện sau đây: 
 a) Ngành đào tạo của chương trình đào tạo thứ hai phải khác ngành đào tạo của chương trình đào tạo thứ nhất; 
 b) Không có sự khác biệt trong hình thức đào tạo giữa hai chương trình đào tạo. 
 c) Đã hoàn thành năm học đầu tiên của chương trình đào tạo thứ nhất, trước học kỳ cuối của thời gian thiết kế chương trình đào tạo 01 học kỳ. Tại thời điểm đăng ký, sinh viên phải đáp ứng một trong hai điều kiện sau: 
 - Học lực tính theo ĐTBCTL xếp loại khá trở lên và đáp ứng ngưỡng bảo đảm chất lượng của chương trình thứ hai trong năm tuyển sinh (nếu có). 
 - Học lực tính theo ĐTBCTL xếp loại trung bình và đáp ứng điều kiện trúng tuyển của chương trình thứ hai trong năm tuyển sinh.","Khoản 2, Điều 18, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
70,Học cùng lúc hai chương trình đào tạo,Sinh viên đang học hai chương trình đào tạo cùng lúc có thể bị buộc dừng học chương trình thứ hai không?,"Trong quá trình sinh viên học cùng lúc hai chương trình, nếu ĐTBCTL của chương trình thứ nhất đạt dưới xếp loại trung bình hoặc thuộc diện cảnh báo học vụ thì phải dừng học chương trình thứ hai ở học kỳ tiếp theo; sinh viên bị loại khỏi danh sách đã đăng ký học chương trình thứ hai.","Khoản 3, Điều 18, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
71,Học cùng lúc hai chương trình đào tạo,Điều kiện để được xét tốt nghiệp của chương trình học thứ hai?,Sinh viên chỉ được xét tốt nghiệp chương trình thứ hai nếu đủ điều kiện tốt nghiệp ở chương trình thứ nhất.,"Khoản 5, Điều 18, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
72,"Chuyển ngành, chuyển chương trình, chuyển trường",Sinh viên muốn chuyển ngành cần phải đạt các điều kiện gì?,"Chuyển ngành/chương trình Sinh viên được xem xét chuyển ngành/chương trình nếu có đủ các điều kiện sau: 
 - Sinh viên đạt điều kiện trúng tuyển của ngành/chương trình đào tạo trong cùng khóa tuyển sinh. 
 - Không trong thời gian bị kỷ luật từ cảnh báo trở lên. 
 - Không thuộc năm nhất.
 - Đạt số tín chỉ tích lũy tối thiểu quy định tại Khoản 4 Điều 10 và có ĐTBC từ 6,0 trở lên. 
 - Được sự chấp thuận của Trưởng khoa/Trưởng bộ môn quản lý ngành/chương trình đào tạo (nơi chuyển đến) và Trưởng khoa/Trưởng bộ môn quản lý ngành/chương trình đào tạo (nơi chuyển đi). 
 - Ngành/chương trình chuyển đến có đủ các điều kiện bảo đảm chất lượng, chưa vượt quá năng lực đào tạo đối với ngành/chương trình đào tạo đó theo quy định hiện hành của Bộ Giáo dục và Đào tạo. 
 Ngoài các quy định này, sinh viên chương trình nâng cao, chương trình tiên tiến và chương trình tài năng thực hiện theo các quy định riêng (nếu có).","Khoản 1, Điều 19, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
73,"Chuyển ngành, chuyển chương trình, chuyển trường",Sinh viên muốn chuyển trường cần phải đạt các điều kiện gì?,"Chuyển trường Sinh viên được chuyển trường nếu có đủ các điều kiện sau: 
 - Không đang là sinh viên trình độ năm thứ nhất hoặc năm cuối khóa, không thuộc diện bị xử lý học vụ từ cảnh báo trở lên (trường hợp bị kỷ luật vì kết quả học tập có thể được Hiệu trưởng xem xét, quyết định cho chuyển) và còn đủ thời gian học tập theo quy định tại Điều 6 của Quy chế này; 
 - Sinh viên đạt điều kiện trúng tuyển của chương trình, ngành đào tạo cùng khóa tuyển sinh tại nơi chuyển đến; 
 - Nơi chuyển đến có đủ các điều kiện bảo đảm chất lượng, chưa vượt quá năng lực đào tạo đối với chương trình, ngành đào tạo đó theo quy định hiện hành của Bộ Giáo dục và Đào tạo; 
 - Được sự đồng ý của Hiệu trưởng trường xin chuyển đi và Hiệu trưởng trường tiếp nhận. 
 Sinh viên xin chuyển trường phải có hồ sơ xin chuyển trường theo mẫu quy định. 
 Thời gian tối đa được phép học đối với sinh viên chuyển ngành/chương trình đào tạo/trường là thời gian tối đa hoàn thành khóa học được quy định tại Điều 6 của Quy chế này.","Khoản 2, Điều 19, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
74,"Cấp lại văn bằng, chứng chỉ",Trường hợp nào có thể xin cấp lại văn bằng?,"Trường hợp văn bằng, chứng chỉ đã cấp nhưng phát hiện bị in sai do lỗi của Trường thì Trường có trách nhiệm cấp lại bản chính văn bằng, chứng chỉ.","Khoản 1, Điều 15, QUY CHẾ VĂN BẰNG, CHỨNG CHỈ CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN"
