Câu hỏi,Câu trả lời,Căn cứ,Ngày ban hành,Ngày cập nhật,Đường dẫn căn cứ,Đường dẫn các file cập nhật
Kết quả môn giáo dục thể chất có được tính vào điểm trung bình không?,"Điều 24. Cách quản lý điểm
7. Không tính kết quả thi các học phần Giáo dục quốc phòng-An ninh và Giáo dục thể chất vào ĐTBHK, ĐTBC hoặc ĐTBCTL. Việc đánh giá kết quả và điều kiện cấp chứng chỉ đối với học phần này theo quy định riêng của Bộ GD&ĐT.","KHOẢN 7, ĐIỀU 24, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Cách tính điểm trung bình?,"Điều 25. Cách tính điểm trung bình
1. ĐTBHK, ĐTBC và ĐTBCTL được tính theo công thức:
A = (Σ(ai × ni) / Σ(ni))
Trong đó:
- A là ĐTBHK, ĐTBC hoặc ĐTBCTL
- ni là số tín chỉ học tập của môn học thứ i
- ai là điểm của môn học thứ i
- n là tổng số môn học được tính.
2. ĐTBHK, ĐTBC và ĐTBCTL được làm tròn đến 0,01.","ĐIỀU 25, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Nguyên tắc của việc công nhận và chuyển đổi tính chỉ?,"Điều 26. Công nhận và chuyển đổi tín chỉ
3. Việc công nhận và chuyển đổi tín chỉ của Trường đảm bảo các nguyên tắc sau:
a) Kết quả đối sánh chuẩn đầu ra, chương trình đào tạo và nội dung môn học là cơ sở cốt lõi cho việc công nhận và chuyển đổi tín chỉ;
b) Thông qua ý kiến của đơn vị phụ trách chuyên môn các học phần có liên quan về việc công nhận và chuyển đổi tín chỉ. ","KHOẢN 3, ĐIỀU 26, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Nguyên tắc của việc công nhận và chuyển đổi tính chỉ của chương trình đào tạo từ xa?,"Điều 26. Công nhận và chuyển đổi tín chỉ
2. Việc công nhận và chuyển đổi tín chỉ đối với đào tạo từ xa, văn bằng 2 và liên thông được thực hiện theo nguyên tắc sau:
a) Sinh viên được công nhận và chuyển đổi tín chỉ đối với những môn học đã tích lũy có từ 80% trở lên nội dung tương đương với nội dung môn học trong chương trình đào tạo;
b) Căn cứ chương trình môn học và kết quả trên bảng điểm học tập của sinh viên, Hiệu trưởng quyết định việc công nhận kết quả học tập, khối lượng kiến thức và các môn học cần phải bổ sung.","KHOẢN 2, ĐIỀU 26, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Sinh viên muốn nhận bảng điểm của mình thì sao?,"Điều 27. Cấp bảng điểm
1. Trong quá trình học tập, sinh viên có thể đề nghị Trường cấp bảng điểm. Sinh viên thực hiện theo hướng dẫn của P.ĐTĐH. ","KHOẢN 1, ĐIỀU 27, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Chất lượng giảng dạy qua mạng có thấp hơn học trực tiếp không?,"Điều 28. Ứng dụng công nghệ thông tin trong tổ chức đào tạo
2. Môn học đào tạo qua mạng có thể được tổ chức đào tạo theo phương thức qua mạng hoàn toàn (bao gồm cả phương thức trực tuyến) hoặc phương thức kết hợp đào tạo qua mạng (chỉ triển khai một phần nội dung môn học qua mạng). Đơn vị quản lý chuyên môn đối với môn học đào tạo qua mạng có trách nhiệm đảm bảo chất lượng giảng dạy và đánh giá môn học không thấp hơn chất lượng lớp học theo phương thức trực tiếp.","KHOẢN 2, ĐIỀU 28, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Thực tập doanh nghiệp là sao?,"Điều 31. Thực tập, khóa luận tốt nghiệp và chuyên đề tốt nghiệp
1. Thực tập
- Học phần Thực tập doanh nghiệp là học phần đặc biệt trong một số chương trình đào tạo của Trường. Theo đó, sinh viên đến thực tập tại doanh nghiệp dưới sự hướng dẫn của một giảng viên do khoa/bộ môn quản lý ngành đào tạo phân công.
- Khoa/bộ môn quản lý ngành đào tạo tổ chức báo cáo kết quả thực tập doanh nghiệp cuối mỗi học kỳ có mở học phần Thực tập doanh nghiệp.
- Sinh viên đăng ký học phần Thực tập doanh nghiệp trong học kỳ nào thì báo cáo kết quả thực tập vào cuối học kỳ đó theo kế hoạch của khoa/bộ môn quản lý ngành đào tạo. Nếu sinh viên không báo cáo vào đúng đợt báo cáo của học kỳ đã đăng ký thì xem như không đạt học phần này và nhận điểm không (0). Sinh viên phải đăng ký học lại vào các học kỳ tiếp theo.
","KHOẢN 1, ĐIỀU 31, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Sinh viên thực tập doanh nghiệp có cần giáo viên hướng dẫn không?,"Điều 31. Thực tập, khóa luận tốt nghiệp và chuyên đề tốt nghiệp
1. Thực tập
- Học phần Thực tập doanh nghiệp là học phần đặc biệt trong một số chương trình đào tạo của Trường. Theo đó, sinh viên đến thực tập tại doanh nghiệp dưới sự hướng dẫn của một giảng viên do khoa/bộ môn quản lý ngành đào tạo phân công.
- Khoa/bộ môn quản lý ngành đào tạo tổ chức báo cáo kết quả thực tập doanh nghiệp cuối mỗi học kỳ có mở học phần Thực tập doanh nghiệp.
- Sinh viên đăng ký học phần Thực tập doanh nghiệp trong học kỳ nào thì báo cáo kết quả thực tập vào cuối học kỳ đó theo kế hoạch của khoa/bộ môn quản lý ngành đào tạo. Nếu sinh viên không báo cáo vào đúng đợt báo cáo của học kỳ đã đăng ký thì xem như không đạt học phần này và nhận điểm không (0). Sinh viên phải đăng ký học lại vào các học kỳ tiếp theo.
","KHOẢN 1, ĐIỀU 31, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Điều kiện để đăng ký thực tập doanh nghiệp?,"Điều 31. Thực tập, khóa luận tốt nghiệp và chuyên đề tốt nghiệp
1. Thực tập
- Học phần Thực tập doanh nghiệp là học phần đặc biệt trong một số chương trình đào tạo của Trường. Theo đó, sinh viên đến thực tập tại doanh nghiệp dưới sự hướng dẫn của một giảng viên do khoa/bộ môn quản lý ngành đào tạo phân công.
- Khoa/bộ môn quản lý ngành đào tạo tổ chức báo cáo kết quả thực tập doanh nghiệp cuối mỗi học kỳ có mở học phần Thực tập doanh nghiệp.
- Sinh viên đăng ký học phần Thực tập doanh nghiệp trong học kỳ nào thì báo cáo kết quả thực tập vào cuối học kỳ đó theo kế hoạch của khoa/bộ môn quản lý ngành đào tạo. Nếu sinh viên không báo cáo vào đúng đợt báo cáo của học kỳ đã đăng ký thì xem như không đạt học phần này và nhận điểm không (0). Sinh viên phải đăng ký học lại vào các học kỳ tiếp theo.
","KHOẢN 1, ĐIỀU 31, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Nếu sinh viên không báo cáo kết quả thực tập doanh nghiệp đúng hạn thì bị phạt thế nào?,"Điều 31. Thực tập, khóa luận tốt nghiệp và chuyên đề tốt nghiệp
1. Thực tập
- Học phần Thực tập doanh nghiệp là học phần đặc biệt trong một số chương trình đào tạo của Trường. Theo đó, sinh viên đến thực tập tại doanh nghiệp dưới sự hướng dẫn của một giảng viên do khoa/bộ môn quản lý ngành đào tạo phân công.
- Khoa/bộ môn quản lý ngành đào tạo tổ chức báo cáo kết quả thực tập doanh nghiệp cuối mỗi học kỳ có mở học phần Thực tập doanh nghiệp.
- Sinh viên đăng ký học phần Thực tập doanh nghiệp trong học kỳ nào thì báo cáo kết quả thực tập vào cuối học kỳ đó theo kế hoạch của khoa/bộ môn quản lý ngành đào tạo. Nếu sinh viên không báo cáo vào đúng đợt báo cáo của học kỳ đã đăng ký thì xem như không đạt học phần này và nhận điểm không (0). Sinh viên phải đăng ký học lại vào các học kỳ tiếp theo.
","KHOẢN 1, ĐIỀU 31, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Khi nào sinh viên phải báo cáo kết quả thực tập doanh nghiệp?,"Điều 31. Thực tập, khóa luận tốt nghiệp và chuyên đề tốt nghiệp
1. Thực tập
- Học phần Thực tập doanh nghiệp là học phần đặc biệt trong một số chương trình đào tạo của Trường. Theo đó, sinh viên đến thực tập tại doanh nghiệp dưới sự hướng dẫn của một giảng viên do khoa/bộ môn quản lý ngành đào tạo phân công.
- Khoa/bộ môn quản lý ngành đào tạo tổ chức báo cáo kết quả thực tập doanh nghiệp cuối mỗi học kỳ có mở học phần Thực tập doanh nghiệp.
- Sinh viên đăng ký học phần Thực tập doanh nghiệp trong học kỳ nào thì báo cáo kết quả thực tập vào cuối học kỳ đó theo kế hoạch của khoa/bộ môn quản lý ngành đào tạo. Nếu sinh viên không báo cáo vào đúng đợt báo cáo của học kỳ đã đăng ký thì xem như không đạt học phần này và nhận điểm không (0). Sinh viên phải đăng ký học lại vào các học kỳ tiếp theo.
","KHOẢN 1, ĐIỀU 31, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Sinh viên nào bắt buộc phải làm khóa luận tốt nghiệp?,"Điều 31. Thực tập, khóa luận tốt nghiệp và chuyên đề tốt nghiệp
3. Làm khóa luận tốt nghiệp
- Vào đầu mỗi học kỳ chính, sinh viên đủ điều kiện quy định có thể đăng ký làm khóa luận tốt nghiệp theo quy trình đăng ký học phần.
- Sinh viên chương trình tiên tiến và chương trình tài năng bắt buộc phải làm khóa luận tốt nghiệp.
- Sinh viên chương trình chuẩn được làm khóa luận tốt nghiệp khi thỏa các yêu cầu sau:
▪ Không được phép nợ quá 8 tín chỉ theo chương trình đào tạo.
▪ Có ĐTBC tính đến thời điểm xét làm khóa luận tốt nghiệp tối thiểu 6,5 hoặc
cao hơn theo yêu cầu cụ thể của khoa/bộ môn quản lý ngành đào tạo.
▪ Trường hợp đặc biệt do Hiệu trưởng quyết định.
- Sinh viên đủ điều kiện làm khóa luận được khoa/bộ môn quản lý ngành đào tạo giao đề tài khóa luận tốt nghiệp. Căn cứ đề nghị của Trưởng khoa/Trưởng bộ môn quản lý ngành đào tạo và Trưởng P.ĐTĐH, Hiệu trưởng ra quyết định giao nhiệm vụ hướng dẫn khóa luận tốt nghiệp.
- Sinh viên thực hiện khóa luận tốt nghiệp trong thời gian là một học kỳ chính.
- Sinh viên chỉ được bảo vệ khóa luận khi đã hoàn thành khóa luận và được sự đồng ý bằng văn bản của cán bộ hướng dẫn.
- Hằng năm có 2 đợt bảo vệ khóa luận tốt nghiệp được xác định cụ thể trên kế hoạch đào tạo của Trường. Nếu hết thời gian thực hiện khóa luận theo quy định mà sinh viên không ra bảo vệ hoặc không được cán bộ hướng dẫn đồng ý cho ra bảo vệ vào đúng đợt chính thức xem như không đạt học phần này, điểm được ghi là không (0).","KHOẢN 3, ĐIỀU 31, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Điều kiện để đăng ký khóa luận tốt nghiệp?,"Điều 31. Thực tập, khóa luận tốt nghiệp và chuyên đề tốt nghiệp
3. Làm khóa luận tốt nghiệp
- Vào đầu mỗi học kỳ chính, sinh viên đủ điều kiện quy định có thể đăng ký làm khóa luận tốt nghiệp theo quy trình đăng ký học phần.
- Sinh viên chương trình tiên tiến và chương trình tài năng bắt buộc phải làm khóa luận tốt nghiệp.
- Sinh viên chương trình chuẩn được làm khóa luận tốt nghiệp khi thỏa các yêu cầu sau:
▪ Không được phép nợ quá 8 tín chỉ theo chương trình đào tạo.
▪ Có ĐTBC tính đến thời điểm xét làm khóa luận tốt nghiệp tối thiểu 6,5 hoặc
cao hơn theo yêu cầu cụ thể của khoa/bộ môn quản lý ngành đào tạo.
▪ Trường hợp đặc biệt do Hiệu trưởng quyết định.
- Sinh viên đủ điều kiện làm khóa luận được khoa/bộ môn quản lý ngành đào tạo giao đề tài khóa luận tốt nghiệp. Căn cứ đề nghị của Trưởng khoa/Trưởng bộ môn quản lý ngành đào tạo và Trưởng P.ĐTĐH, Hiệu trưởng ra quyết định giao nhiệm vụ hướng dẫn khóa luận tốt nghiệp.
- Sinh viên thực hiện khóa luận tốt nghiệp trong thời gian là một học kỳ chính.
- Sinh viên chỉ được bảo vệ khóa luận khi đã hoàn thành khóa luận và được sự đồng ý bằng văn bản của cán bộ hướng dẫn.
- Hằng năm có 2 đợt bảo vệ khóa luận tốt nghiệp được xác định cụ thể trên kế hoạch đào tạo của Trường. Nếu hết thời gian thực hiện khóa luận theo quy định mà sinh viên không ra bảo vệ hoặc không được cán bộ hướng dẫn đồng ý cho ra bảo vệ vào đúng đợt chính thức xem như không đạt học phần này, điểm được ghi là không (0).","KHOẢN 3, ĐIỀU 31, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
Nếu sinh viên không bảo vệ khóa luận tốt nghiệp thì bị phạt thế nào?,"Điều 31. Thực tập, khóa luận tốt nghiệp và chuyên đề tốt nghiệp
3. Làm khóa luận tốt nghiệp
- Vào đầu mỗi học kỳ chính, sinh viên đủ điều kiện quy định có thể đăng ký làm khóa luận tốt nghiệp theo quy trình đăng ký học phần.
- Sinh viên chương trình tiên tiến và chương trình tài năng bắt buộc phải làm khóa luận tốt nghiệp.
- Sinh viên chương trình chuẩn được làm khóa luận tốt nghiệp khi thỏa các yêu cầu sau:
▪ Không được phép nợ quá 8 tín chỉ theo chương trình đào tạo.
▪ Có ĐTBC tính đến thời điểm xét làm khóa luận tốt nghiệp tối thiểu 6,5 hoặc
cao hơn theo yêu cầu cụ thể của khoa/bộ môn quản lý ngành đào tạo.
▪ Trường hợp đặc biệt do Hiệu trưởng quyết định.
- Sinh viên đủ điều kiện làm khóa luận được khoa/bộ môn quản lý ngành đào tạo giao đề tài khóa luận tốt nghiệp. Căn cứ đề nghị của Trưởng khoa/Trưởng bộ môn quản lý ngành đào tạo và Trưởng P.ĐTĐH, Hiệu trưởng ra quyết định giao nhiệm vụ hướng dẫn khóa luận tốt nghiệp.
- Sinh viên thực hiện khóa luận tốt nghiệp trong thời gian là một học kỳ chính.
- Sinh viên chỉ được bảo vệ khóa luận khi đã hoàn thành khóa luận và được sự đồng ý bằng văn bản của cán bộ hướng dẫn.
- Hằng năm có 2 đợt bảo vệ khóa luận tốt nghiệp được xác định cụ thể trên kế hoạch đào tạo của Trường. Nếu hết thời gian thực hiện khóa luận theo quy định mà sinh viên không ra bảo vệ hoặc không được cán bộ hướng dẫn đồng ý cho ra bảo vệ vào đúng đợt chính thức xem như không đạt học phần này, điểm được ghi là không (0).","KHOẢN 3, ĐIỀU 31, QUY CHẾ ĐÀO TẠO THEO HỌC CHẾ TÍN CHỈ CHO HỆ ĐẠI HỌC CHÍNH QUY CỦA TRƯỜNG ĐẠI HỌC CÔNG NGHỆ THÔNG TIN",28/09/2022,Không có,https://firebasestorage.googleapis.com/v0/b/enigma-fived.appspot.com/o/regulations%2FQUY%20CH%E1%BA%BE%20%C4%90%C3%80O%20T%E1%BA%A0O%20THEO%20H%E1%BB%8CC%20CH%E1%BA%BE%20T%C3%8DN%20CH%E1%BB%88%20CHO%20H%E1%BB%86%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20CH%C3%8DNH%20QUY%20C%E1%BB%A6A%20TR%C6%AF%E1%BB%9CNG%20%C4%90%E1%BA%A0I%20H%E1%BB%8CC%20C%C3%94NG%20NGH%E1%BB%86%20TH%C3%94NG%20TIN%2F1736446197667-790-qd-dhcntt_28-9-22_quy_che_dao_tao.pdf?alt=media,Không có
